"ID";"Lagerort";"x_Koordinate";"y_Koordinate";"z_Koordinate"; 
"434";"0";"5350";"1400";"2575"; 
"435";"0";"5750";"1400";"2575"; 
"436";"0";"6150";"1400";"2575"; 
"437";"0";"6550";"1400";"2575"; 
"438";"0";"6950";"1400";"2575"; 
"439";"0";"7350";"1400";"2575"; 
"440";"0";"7750";"1400";"2575"; 
"441";"0";"150";"2300";"2575"; 
"442";"0";"550";"2300";"2575"; 
"443";"0";"950";"2300";"2575"; 
"444";"0";"1350";"2300";"2575"; 
"445";"0";"1750";"2300";"2575"; 
"446";"0";"2150";"2300";"2575"; 
"447";"0";"2550";"2300";"2575"; 
"448";"0";"2950";"2300";"2575"; 
"449";"0";"3350";"2300";"2575"; 
"450";"0";"3750";"2300";"2575"; 
"451";"0";"4150";"2300";"2575"; 
"452";"0";"4550";"2300";"2575"; 
"453";"0";"4950";"2300";"2575"; 
"454";"0";"5350";"2300";"2575"; 
"455";"0";"5750";"2300";"2575"; 
"456";"0";"6150";"2300";"2575"; 
"457";"0";"6550";"2300";"2575"; 
"458";"0";"6950";"2300";"2575"; 
"459";"0";"7350";"2300";"2575"; 
"460";"0";"7750";"2300";"2575"; 
"461";"0";"150";"3300";"2575"; 
"462";"0";"550";"3300";"2575"; 
"463";"0";"950";"3300";"2575"; 
"464";"0";"1350";"3300";"2575"; 
"465";"0";"1750";"3300";"2575"; 
"466";"0";"2150";"3300";"2575"; 
"467";"0";"2550";"3300";"2575"; 
"468";"0";"2950";"3300";"2575"; 
"469";"0";"3350";"3300";"2575"; 
"470";"0";"3750";"3300";"2575"; 
"471";"0";"4150";"3300";"2575"; 
"472";"0";"4550";"3300";"2575"; 
"473";"0";"4950";"3300";"2575"; 
"474";"0";"5350";"3300";"2575"; 
"475";"0";"5750";"3300";"2575"; 
"476";"0";"6150";"3300";"2575"; 
"477";"0";"6550";"3300";"2575"; 
"478";"0";"6950";"3300";"2575"; 
"479";"0";"7350";"3300";"2575"; 
"480";"0";"7750";"3300";"2575"; 
"481";"0";"150";"4200";"2575"; 
"482";"0";"550";"4200";"2575"; 
"483";"0";"950";"4200";"2575"; 
"484";"0";"1350";"4200";"2575"; 
"485";"0";"1750";"4200";"2575"; 
"486";"0";"2150";"4200";"2575"; 
"487";"0";"2550";"4200";"2575"; 
"488";"0";"2950";"4200";"2575"; 
"489";"0";"3350";"4200";"2575"; 
"490";"0";"3750";"4200";"2575"; 
"491";"0";"4150";"4200";"2575"; 
"492";"0";"4550";"4200";"2575"; 
"493";"0";"4950";"4200";"2575"; 
"494";"0";"5350";"4200";"2575"; 
"495";"0";"5750";"4200";"2575"; 
"496";"0";"6150";"4200";"2575"; 
"497";"0";"6550";"4200";"2575"; 
"498";"0";"6950";"4200";"2575"; 
"499";"0";"7350";"4200";"2575"; 
